intents,utterances
billing,"Can I change my billing cycle date?"
billing,"Can you explain the charges on my recent invoice?"
billing,"How can I update my credit card details?"
billing,"What are the charges for canceling my service early?"
billing,"Why did my bill increase this month?"
equipment_sales,"Can I integrate your equipment with my smart home system?"
equipment_sales,"Do you offer any wireless security solutions?"
equipment_sales,"Is it possible to upgrade my current system?"
equipment_sales,"What options are available for outdoor security cameras?"
subscriptions,"Are there any discounts for annual subscriptions?"
subscriptions,"Does the subscription include 24/7 monitoring?"
subscriptions,"Is there a discount for paying annually?"
subscriptions,"What happens if I exceed my plan's limits?"
subscriptions,"What are the different plan options you offer?"
subscription_cancellations,"Can I reinstate my subscription after canceling?"
subscription_cancellations,"How long does it take to process a cancellation?"
subscription_cancellations,"What are the implications for my contract upon cancellation?"
subscription_cancellations,"Will I receive a refund for unused service?"
tech_support_camera,"How do I adjust the motion sensitivity on my camera?"
tech_support_camera,"How do I update my device's software?"
tech_support_camera,"My camera is offline, how do I get it back online?"
tech_support_camera,"Why am I not receiving alerts from my camera?"
tech_support_doorbell,"Can the doorbell camera detect packages?"
tech_support_doorbell,"How do I install the doorbell camera?"
tech_support_doorbell,"What to do if the doorbell isn't ringing?"
tech_support_doorbell,"Why is there a delay in doorbell camera notifications?"
tech_support_alarm,"How do I arm/disarm my alarm system?"
tech_support_alarm,"What to do if my alarm system keeps going off accidentally?"
tech_support_other,"Can I add a new user to my system?"
tech_support_other,"How can I improve the overall performance of my system?"
tech_support_other,"Why is my system showing an unknown error code?"
